--- 0.1 0.05 0.01 0.001 0.1_diff 0.05_diff 0.01_diff 0.001_diff
SIM_138 949 522 122 13 -16 3 -61 -38
SIM_139 776 374 76 10 30 6 87 135
SIM_140 1391 794 212 37 -106 -21 -333 -480
SIM_141 890 440 84 4 22 12 21 21
SIM_142 822 395 73 9 33 7 66 89
SIM_143 859 412 85 9 21 7 49 52
SIM_144 894 451 98 10 8 6 10 17
SIM_145 845 418 78 8 28 8 43 66
SIM_146 927 473 99 9 7 7 -12 -16
SIM_147 983 487 84 9 22 7 -26 -72
SIM_148 700 319 55 6 51 10 142 211
SIM_149 784 389 68 6 38 10 72 127
SIM_150 869 433 94 10 12 6 28 42
SIM_151 836 438 94 8 12 8 23 75
SIM_152 742 352 66 4 40 12 109 169
SIM_153 754 366 66 4 40 12 95 157
SIM_154 951 518 103 8 3 8 -57 -40
SIM_155 777 387 81 5 25 11 74 134
SIM_156 878 432 94 9 12 7 29 33
SIM_157 870 463 93 10 13 6 -2 41
SIM_158 826 425 76 7 30 9 36 85
SIM_159 900 435 81 7 25 9 26 11
SIM_160 954 501 102 13 4 3 -40 -43
SIM_161 824 409 78 6 28 10 52 87
SIM_162 789 408 80 13 26 3 53 122
SIM_163 886 430 92 1 14 15 31 25
SIM_164 884 436 87 14 19 2 25 27
SIM_165 827 406 80 9 26 7 55 84
SIM_166 851 430 75 3 31 13 31 60
SIM_167 896 470 94 13 12 3 -9 15
SIM_168 859 434 77 4 29 12 27 52
SIM_169 793 368 63 6 43 10 93 118
SIM_170 807 400 73 8 33 8 61 104
SIM_171 902 446 83 14 23 2 15 9
SIM_172 898 413 96 7 10 9 48 13
SIM_173 908 451 115 15 -9 1 10 3
SIM_174 751 363 62 3 44 13 98 160
SIM_175 821 383 68 7 38 9 78 90
SIM_176 928 490 93 11 13 5 -29 -17
SIM_177 804 401 86 7 20 9 60 107
SIM_178 785 381 76 9 30 7 80 126
SIM_179 852 407 81 6 25 10 54 59
SIM_180 838 391 89 7 17 9 70 73
SIM_181 1013 529 120 15 -14 1 -68 -102
SIM_182 840 411 79 9 27 7 50 71
SIM_183 819 391 85 6 21 10 70 92
SIM_184 814 369 68 8 38 8 92 97
SIM_185 902 454 111 7 -5 9 7 9
SIM_186 832 398 69 12 37 4 63 79
SIM_187 821 385 61 9 45 7 76 90
SIM_188 914 455 102 9 4 7 6 -3
SIM_189 907 455 82 9 24 7 6 4
SIM_190 823 406 69 4 37 12 55 88
SIM_191 860 441 80 10 26 6 20 51
SIM_192 848 425 75 4 31 12 36 63
SIM_193 816 404 73 7 33 9 57 95
SIM_194 790 371 55 4 51 12 90 121
SIM_195 959 481 101 10 5 6 -20 -48
SIM_196 874 444 78 5 28 11 17 37
SIM_197 883 454 100 14 6 2 7 28
SIM_198 906 435 89 6 17 10 26 5
SIM_199 811 396 75 15 31 1 65 100
SIM_200 887 426 84 6 22 10 35 24
SIM_201 830 388 71 10 35 6 73 81
SIM_202 988 510 100 11 6 5 -49 -77
SIM_203 731 327 67 5 39 11 134 180
SIM_204 808 376 78 10 28 6 85 103
SIM_205 733 345 75 8 31 8 116 178
SIM_206 797 405 76 9 30 7 56 114
SIM_207 894 451 83 11 23 5 10 17
SIM_208 913 481 107 9 -1 7 -20 -2
SIM_209 798 383 81 4 25 12 78 113
SIM_210 1015 545 115 7 -9 9 -84 -104
SIM_211 813 403 68 8 38 8 58 98
SIM_212 840 424 82 9 24 7 37 71
SIM_213 911 454 104 9 2 7 7 0
SIM_214 803 380 73 6 33 10 81 108
SIM_215 933 465 98 9 8 7 -4 -22
SIM_216 768 358 73 5 33 11 103 143
SIM_217 879 453 86 3 20 13 8 32
SIM_218 898 456 81 14 25 2 5 13
SIM_219 752 362 77 9 29 7 99 159
SIM_220 904 453 70 9 36 7 8 7
SIM_221 824 374 65 6 41 10 87 87
SIM_222 821 403 80 10 26 6 58 90
SIM_223 798 379 84 7 22 9 82 113
SIM_224 867 428 93 13 13 3 33 44
SIM_225 868 446 86 10 20 6 15 43
SIM_226 764 380 69 9 37 7 81 147
SIM_227 936 462 98 8 8 8 -1 -25
SIM_228 915 439 79 7 27 9 22 -4
SIM_229 931 468 93 6 13 10 -7 -20
SIM_230 1014 545 117 8 -11 8 -84 -103
SIM_231 757 351 82 10 24 6 110 154
SIM_232 973 517 106 7 0 9 -56 -62
SIM_233 825 375 67 5 39 11 86 86
SIM_234 810 399 74 5 32 11 62 101
SIM_235 870 428 75 5 31 11 33 41
SIM_236 832 424 72 9 34 7 37 79
SIM_237 852 425 77 5 29 11 36 59
SIM_238 855 402 88 9 18 7 59 56
SIM_239 954 478 97 8 9 8 -17 -43
SIM_240 827 434 89 11 17 5 27 84
SIM_241 967 480 87 10 19 6 -19 -56
SIM_242 814 397 85 12 21 4 64 97
SIM_243 808 384 68 7 38 9 77 103
SIM_244 962 503 104 11 2 5 -42 -51
SIM_245 892 437 90 7 16 9 24 19
SIM_246 952 464 93 5 13 11 -3 -41
SIM_247 1106 593 145 22 -39 -6 -132 -195
SIM_248 845 419 79 5 27 11 42 66
SIM_249 881 444 84 10 22 6 17 30
SIM_250 858 435 86 14 20 2 26 53
SIM_251 838 373 84 8 22 8 88 73
SIM_252 832 417 84 10 22 6 44 79
SIM_253 840 396 70 9 36 7 65 71
SIM_254 747 366 69 5 37 11 95 164
SIM_255 777 332 63 2 43 14 129 134
SIM_256 808 394 55 6 51 10 67 103
SIM_257 929 487 94 8 12 8 -26 -18
SIM_258 959 496 91 9 15 7 -35 -48
SIM_259 707 342 62 7 44 9 119 204
SIM_260 938 473 109 14 -3 2 -12 -27
SIM_261 874 453 81 8 25 8 8 37
SIM_262 876 437 93 6 13 10 24 35
SIM_263 850 448 96 7 10 9 13 61
SIM_264 822 424 95 7 11 9 37 89
SIM_265 937 454 103 11 3 5 7 -26
SIM_266 761 343 61 5 45 11 118 150
SIM_267 797 393 71 11 35 5 68 114
SIM_268 775 351 72 3 34 13 110 136
SIM_269 862 419 88 13 18 3 42 49
SIM_270 871 421 77 11 29 5 40 40
SIM_271 866 413 86 10 20 6 48 45
SIM_272 835 409 68 7 38 9 52 76
SIM_273 754 347 48 5 58 11 114 157
SIM_274 1151 608 140 17 -34 -1 -147 -240
SIM_275 951 502 102 6 4 10 -41 -40
SIM_276 922 468 89 6 17 10 -7 -11
SIM_277 862 439 94 13 12 3 22 49
SIM_278 828 394 88 8 18 8 67 83
SIM_279 803 393 85 10 21 6 68 108
SIM_280 884 442 92 9 14 7 19 27
SIM_281 766 398 74 9 32 7 63 145
SIM_282 1072 585 128 14 -22 2 -124 -161
SIM_283 773 355 64 5 42 11 106 138
SIM_284 856 406 80 5 26 11 55 55
SIM_285 723 351 45 5 61 11 110 188
SIM_286 1012 505 100 9 6 7 -44 -101
SIM_287 888 454 71 5 35 11 7 23
SIM_288 876 405 74 13 32 3 56 35
SIM_289 870 416 71 7 35 9 45 41
SIM_290 988 511 130 20 -24 -4 -50 -77
SIM_291 835 396 72 11 34 5 65 76
SIM_292 777 350 63 5 43 11 111 134
SIM_293 930 477 103 5 3 11 -16 -19
SIM_294 973 516 105 17 1 -1 -55 -62
SIM_295 850 417 78 5 28 11 44 61
SIM_296 887 437 87 3 19 13 24 24
SIM_297 1029 543 129 15 -23 1 -82 -118
SIM_298 837 411 72 4 34 12 50 74
SIM_299 919 449 91 10 15 6 12 -8
SIM_300 807 409 80 10 26 6 52 104
SIM_301 834 411 77 10 29 6 50 77
SIM_302 843 443 91 8 15 8 18 68
SIM_303 784 387 61 6 45 10 74 127
SIM_304 755 379 71 6 35 10 82 156
SIM_305 840 440 92 10 14 6 21 71
SIM_306 929 478 91 9 15 7 -17 -18
SIM_307 780 407 85 5 21 11 54 131
SIM_308 851 401 61 5 45 11 60 60
SIM_309 956 516 112 10 -6 6 -55 -45
SIM_310 850 424 70 7 36 9 37 61
SIM_311 1071 563 130 10 -24 6 -102 -160
SIM_312 868 405 87 12 19 4 56 43
SIM_313 851 414 104 14 2 2 47 60
SIM_314 869 431 86 10 20 6 30 42
SIM_315 995 488 104 11 2 5 -27 -84
SIM_316 855 446 83 7 23 9 15 56
SIM_317 833 416 76 12 30 4 45 78
SIM_318 774 392 78 6 28 10 69 137
SIM_319 886 450 99 10 7 6 11 25
SIM_320 835 404 73 5 33 11 57 76
SIM_321 916 488 99 7 7 9 -27 -5
SIM_322 740 366 73 5 33 11 95 171
SIM_323 966 481 103 10 3 6 -20 -55
SIM_324 916 455 102 14 4 2 6 -5
SIM_325 800 364 68 5 38 11 97 111
SIM_326 825 412 63 11 43 5 49 86
SIM_327 874 417 85 11 21 5 44 37
SIM_328 982 515 96 15 10 1 -54 -71
SIM_329 926 484 109 9 -3 7 -23 -15
SIM_330 791 368 61 3 45 13 93 120
SIM_331 883 424 93 8 13 8 37 28
SIM_332 888 452 112 18 -6 -2 9 23
SIM_333 847 409 80 5 26 11 52 64
