--- 0.1 0.05 0.01 0.001 0.1_diff 0.05_diff 0.01_diff 0.001_diff
SIM_602 780 389 72 8 34 8 72 131
SIM_603 749 381 77 3 29 13 80 162
SIM_604 838 406 79 7 27 9 55 73
SIM_605 774 370 72 4 34 12 91 137
SIM_606 1040 551 117 8 -11 8 -90 -129
SIM_607 822 399 74 9 32 7 62 89
SIM_608 916 455 83 15 23 1 6 -5
SIM_609 892 475 98 10 8 6 -14 19
SIM_610 841 415 78 3 28 13 46 70
SIM_611 753 372 60 5 46 11 89 158
SIM_612 871 433 86 7 20 9 28 40
SIM_613 910 464 106 10 0 6 -3 1
SIM_614 931 438 79 6 27 10 23 -20
SIM_615 820 395 76 13 30 3 66 91
SIM_616 1001 509 101 12 5 4 -48 -90
SIM_617 844 449 81 10 25 6 12 67
SIM_618 812 399 75 11 31 5 62 99
SIM_619 877 418 82 12 24 4 43 34
SIM_620 1143 609 158 17 -52 -1 -148 -232
SIM_621 815 409 79 5 27 11 52 96
SIM_622 841 407 92 9 14 7 54 70
SIM_623 867 410 62 5 44 11 51 44
SIM_624 1083 589 140 24 -34 -8 -128 -172
SIM_625 1148 646 156 31 -50 -15 -185 -237
SIM_626 850 442 84 4 22 12 19 61
SIM_627 906 438 99 13 7 3 23 5
SIM_628 831 437 92 8 14 8 24 80
SIM_629 832 422 79 5 27 11 39 79
SIM_630 954 464 104 12 2 4 -3 -43
SIM_631 854 415 84 12 22 4 46 57
SIM_632 1044 553 132 12 -26 4 -92 -133
SIM_633 720 320 62 3 44 13 141 191
SIM_634 737 354 74 4 32 12 107 174
SIM_635 865 433 81 6 25 10 28 46
SIM_636 934 467 95 9 11 7 -6 -23
SIM_637 881 434 80 6 26 10 27 30
SIM_638 771 373 56 3 50 13 88 140
SIM_639 1081 566 141 17 -35 -1 -105 -170
SIM_640 786 393 88 10 18 6 68 125
SIM_641 850 416 85 8 21 8 45 61
SIM_642 818 409 58 3 48 13 52 93
SIM_643 910 452 79 11 27 5 9 1
SIM_644 818 412 75 8 31 8 49 93
SIM_645 895 449 84 9 22 7 12 16
SIM_646 853 423 71 6 35 10 38 58
SIM_647 976 502 99 11 7 5 -41 -65
SIM_648 773 397 81 6 25 10 64 138
SIM_649 926 469 103 16 3 0 -8 -15
SIM_650 837 418 89 11 17 5 43 74
SIM_651 864 463 98 9 8 7 -2 47
SIM_652 885 451 87 8 19 8 10 26
SIM_653 893 466 86 7 20 9 -5 18
SIM_654 817 392 86 9 20 7 69 94
SIM_655 858 414 92 8 14 8 47 53
SIM_656 796 384 69 8 37 8 77 115
SIM_657 853 429 85 9 21 7 32 58
SIM_658 919 467 96 10 10 6 -6 -8
SIM_659 829 411 83 2 23 14 50 82
SIM_660 855 413 78 5 28 11 48 56
SIM_661 768 364 62 9 44 7 97 143
SIM_662 845 428 82 8 24 8 33 66
SIM_663 954 491 96 8 10 8 -30 -43
SIM_664 876 429 92 3 14 13 32 35
SIM_665 896 440 88 9 18 7 21 15
SIM_666 862 424 101 9 5 7 37 49
SIM_667 855 418 82 8 24 8 43 56
SIM_668 813 405 81 9 25 7 56 98
SIM_669 821 430 93 8 13 8 31 90
SIM_670 885 458 87 9 19 7 3 26
SIM_671 1005 525 107 13 -1 3 -64 -94
SIM_672 788 396 84 4 22 12 65 123
SIM_673 862 449 87 11 19 5 12 49
SIM_674 915 466 107 17 -1 -1 -5 -4
SIM_675 884 471 82 9 24 7 -10 27
SIM_676 856 442 89 7 17 9 19 55
SIM_677 909 456 86 12 20 4 5 2
SIM_678 945 462 99 8 7 8 -1 -34
SIM_679 809 384 75 7 31 9 77 102
SIM_680 884 441 81 7 25 9 20 27
SIM_681 846 424 82 8 24 8 37 65
SIM_682 904 466 98 10 8 6 -5 7
SIM_683 898 474 109 10 -3 6 -13 13
SIM_684 820 391 70 10 36 6 70 91
SIM_685 871 451 102 14 4 2 10 40
SIM_686 780 388 60 6 46 10 73 131
SIM_687 746 372 58 6 48 10 89 165
SIM_688 842 404 89 7 17 9 57 69
SIM_689 1032 551 115 15 -9 1 -90 -121
SIM_690 887 467 106 12 0 4 -6 24
SIM_691 871 435 86 13 20 3 26 40
SIM_692 677 302 47 1 59 15 159 234
SIM_693 877 430 86 11 20 5 31 34
SIM_694 797 372 62 7 44 9 89 114
SIM_695 868 458 96 5 10 11 3 43
SIM_696 915 485 92 9 14 7 -24 -4
SIM_697 906 458 102 12 4 4 3 5
SIM_698 848 413 71 7 35 9 48 63
SIM_699 848 438 84 8 22 8 23 63
SIM_700 867 441 84 8 22 8 20 44
SIM_701 885 449 92 8 14 8 12 26
SIM_702 990 505 98 8 8 8 -44 -79
SIM_703 947 479 100 7 6 9 -18 -36
SIM_704 1006 542 112 11 -6 5 -81 -95
SIM_705 971 518 97 17 9 -1 -57 -60
SIM_706 899 454 113 9 -7 7 7 12
SIM_707 894 460 73 14 33 2 1 17
SIM_708 869 442 97 16 9 0 19 42
SIM_709 920 495 101 15 5 1 -34 -9
SIM_710 1006 532 102 12 4 4 -71 -95
SIM_711 930 477 99 11 7 5 -16 -19
SIM_712 941 457 93 7 13 9 4 -30
SIM_713 1117 568 138 12 -32 4 -107 -206
SIM_714 808 396 86 5 20 11 65 103
SIM_715 974 500 121 9 -15 7 -39 -63
SIM_716 857 393 66 4 40 12 68 54
SIM_717 759 358 49 6 57 10 103 152
SIM_718 973 497 94 12 12 4 -36 -62
SIM_719 846 401 81 8 25 8 60 65
SIM_720 958 511 124 11 -18 5 -50 -47
SIM_721 755 335 58 7 48 9 126 156
SIM_722 697 313 64 8 42 8 148 214
SIM_723 863 442 88 10 18 6 19 48
SIM_724 840 447 79 7 27 9 14 71
SIM_725 956 498 103 9 3 7 -37 -45
SIM_726 787 398 100 8 6 8 63 124
SIM_727 965 501 98 9 8 7 -40 -54
SIM_728 757 352 67 6 39 10 109 154
SIM_729 1034 540 115 9 -9 7 -79 -123
SIM_730 922 482 114 15 -8 1 -21 -11
SIM_731 800 414 72 5 34 11 47 111
SIM_732 1014 531 118 16 -12 0 -70 -103
SIM_733 815 396 82 9 24 7 65 96
SIM_734 765 352 69 3 37 13 109 146
SIM_735 1016 557 131 15 -25 1 -96 -105
SIM_736 764 373 67 4 39 12 88 147
SIM_737 822 415 75 5 31 11 46 89
SIM_738 771 339 61 9 45 7 122 140
SIM_739 874 442 93 6 13 10 19 37
SIM_740 744 363 62 5 44 11 98 167
SIM_741 784 346 69 7 37 9 115 127
SIM_742 844 414 79 4 27 12 47 67
SIM_743 822 396 89 6 17 10 65 89
SIM_744 858 422 92 7 14 9 39 53
SIM_745 882 419 83 8 23 8 42 29
SIM_746 854 409 66 6 40 10 52 57
SIM_747 831 407 85 9 21 7 54 80
SIM_748 794 378 65 6 41 10 83 117
SIM_749 830 408 71 10 35 6 53 81
SIM_750 831 403 63 8 43 8 58 80
SIM_751 861 458 82 8 24 8 3 50
SIM_752 902 453 86 4 20 12 8 9
SIM_753 994 527 103 9 3 7 -66 -83
SIM_754 942 518 108 11 -2 5 -57 -31
SIM_755 881 445 86 6 20 10 16 30
SIM_756 814 378 76 7 30 9 83 97
SIM_757 891 458 113 12 -7 4 3 20
SIM_758 943 448 92 7 14 9 13 -32
SIM_759 927 477 120 14 -14 2 -16 -16
SIM_760 874 434 80 13 26 3 27 37
SIM_761 785 368 67 10 39 6 93 126
SIM_762 896 475 93 8 13 8 -14 15
SIM_763 947 486 99 10 7 6 -25 -36
SIM_764 791 380 61 3 45 13 81 120
SIM_765 727 331 56 5 50 11 130 184
SIM_766 911 467 89 9 17 7 -6 0
SIM_767 932 465 100 5 6 11 -4 -21
SIM_768 981 523 110 8 -4 8 -62 -70
SIM_769 887 459 85 8 21 8 2 24
SIM_770 769 381 67 8 39 8 80 142
SIM_771 856 447 90 8 16 8 14 55
SIM_772 927 478 115 14 -9 2 -17 -16
SIM_773 900 460 86 10 20 6 1 11
SIM_774 1169 640 146 25 -40 -9 -179 -258
SIM_775 885 469 103 8 3 8 -8 26
SIM_776 842 401 84 6 22 10 60 69
SIM_777 946 478 84 6 22 10 -17 -35
SIM_778 801 392 78 12 28 4 69 110
SIM_779 780 394 76 9 30 7 67 131
SIM_780 974 504 99 8 7 8 -43 -63
SIM_781 854 432 88 7 18 9 29 57
SIM_782 887 441 96 12 10 4 20 24
SIM_783 802 406 68 4 38 12 55 109
SIM_784 875 442 97 14 9 2 19 36
SIM_785 888 469 101 12 5 4 -8 23
SIM_786 955 484 94 14 12 2 -23 -44
SIM_787 904 455 96 8 10 8 6 7
SIM_788 928 471 99 7 7 9 -10 -17
SIM_789 801 382 73 11 33 5 79 110
SIM_790 875 432 83 10 23 6 29 36
SIM_791 870 404 96 12 10 4 57 41
SIM_792 929 465 103 9 3 7 -4 -18
SIM_793 926 451 88 16 18 0 10 -15
SIM_794 905 478 97 11 9 5 -17 6
SIM_795 905 445 87 11 19 5 16 6
SIM_796 910 463 97 8 9 8 -2 1
SIM_797 790 376 63 5 43 11 85 121
SIM_798 945 479 109 18 -3 -2 -18 -34
SIM_799 898 428 95 12 11 4 33 13
SIM_800 793 365 75 9 31 7 96 118
SIM_801 956 478 104 14 2 2 -17 -45
SIM_802 998 526 107 10 -1 6 -65 -87
SIM_803 706 338 55 6 51 10 123 205
SIM_804 791 367 63 1 43 15 94 120
SIM_805 772 354 54 9 52 7 107 139
SIM_806 859 422 70 7 36 9 39 52
SIM_807 937 473 94 11 12 5 -12 -26
SIM_808 882 443 97 11 9 5 18 29
SIM_809 929 491 133 16 -27 0 -30 -18
SIM_810 913 462 107 11 -1 5 -1 -2
SIM_811 886 458 90 13 16 3 3 25
SIM_812 791 367 61 5 45 11 94 120
SIM_813 809 417 90 10 16 6 44 102
SIM_814 908 434 76 8 30 8 27 3
SIM_815 919 443 80 14 26 2 18 -8
SIM_816 959 520 106 13 0 3 -59 -48
SIM_817 906 458 77 12 29 4 3 5
SIM_818 1262 723 179 26 -73 -10 -262 -351
SIM_819 829 397 78 6 28 10 64 82
SIM_820 727 362 65 4 41 12 99 184
SIM_821 992 519 123 13 -17 3 -58 -81
SIM_822 1160 623 138 14 -32 2 -162 -249
SIM_823 921 485 105 16 1 0 -24 -10
SIM_824 706 357 60 5 46 11 104 205
SIM_825 885 440 87 9 19 7 21 26
SIM_826 968 487 87 9 19 7 -26 -57
SIM_827 966 507 109 8 -3 8 -46 -55
SIM_828 942 500 98 11 8 5 -39 -31
SIM_829 770 351 73 4 33 12 110 141
SIM_830 787 397 74 4 32 12 64 124
SIM_831 833 391 75 6 31 10 70 78
SIM_832 788 383 74 4 32 12 78 123
SIM_833 875 413 87 10 19 6 48 36
SIM_834 788 377 73 4 33 12 84 123
SIM_835 804 397 85 5 21 11 64 107
SIM_836 937 471 107 10 -1 6 -10 -26
SIM_837 840 402 90 12 16 4 59 71
SIM_838 806 397 69 8 37 8 64 105
SIM_839 857 410 71 11 35 5 51 54
SIM_840 881 415 91 8 15 8 46 30
SIM_841 944 459 97 11 9 5 2 -33
SIM_842 832 417 84 13 22 3 44 79
SIM_843 811 389 81 13 25 3 72 100
SIM_844 982 500 119 11 -13 5 -39 -71
SIM_845 885 420 94 11 12 5 41 26
SIM_846 833 403 69 3 37 13 58 78
SIM_847 757 373 59 10 47 6 88 154
SIM_848 937 488 112 8 -6 8 -27 -26
SIM_849 1006 513 111 20 -5 -4 -52 -95
SIM_850 931 461 89 13 17 3 0 -20
SIM_851 913 455 88 8 18 8 6 -2
SIM_852 748 370 58 4 48 12 91 163
SIM_853 870 468 104 7 2 9 -7 41
SIM_854 947 488 94 16 12 0 -27 -36
SIM_855 688 308 63 4 43 12 153 223
SIM_856 830 386 63 2 43 14 75 81
SIM_857 796 391 73 9 33 7 70 115
SIM_858 979 532 110 12 -4 4 -71 -68
SIM_859 800 370 70 7 36 9 91 111
SIM_860 767 373 77 9 29 7 88 144
SIM_861 868 433 88 6 18 10 28 43
SIM_862 746 359 67 9 39 7 102 165
SIM_863 917 485 96 11 10 5 -24 -6
SIM_864 923 475 80 5 26 11 -14 -12
SIM_865 780 382 72 6 34 10 79 131
SIM_866 1017 543 119 8 -13 8 -82 -106
SIM_867 867 454 94 9 12 7 7 44
SIM_868 895 462 81 7 25 9 -1 16
SIM_869 848 417 87 9 19 7 44 63
SIM_870 852 380 76 10 30 6 81 59
SIM_871 707 329 57 10 49 6 132 204
SIM_872 832 415 76 7 30 9 46 79
SIM_873 904 438 82 8 24 8 23 7
SIM_874 797 390 63 8 43 8 71 114
SIM_875 917 448 92 9 14 7 13 -6
SIM_876 759 379 80 8 26 8 82 152
SIM_877 842 385 75 6 31 10 76 69
SIM_878 850 387 87 12 19 4 74 61
SIM_879 763 344 70 7 36 9 117 148
SIM_880 892 454 74 8 32 8 7 19
SIM_881 841 411 80 6 26 10 50 70
SIM_882 801 415 75 5 31 11 46 110
SIM_883 803 390 80 2 26 14 71 108
SIM_884 981 495 106 5 0 11 -34 -70
SIM_885 903 450 92 12 14 4 11 8
SIM_886 1074 579 136 13 -30 3 -118 -163
SIM_887 871 447 93 8 13 8 14 40
SIM_888 716 329 61 5 45 11 132 195
SIM_889 964 471 81 9 25 7 -10 -53
SIM_890 933 479 108 19 -2 -3 -18 -22
SIM_891 966 490 95 11 11 5 -29 -55
SIM_892 839 406 95 21 11 -5 55 72
SIM_893 742 341 52 6 54 10 120 169
SIM_894 980 512 126 13 -20 3 -51 -69
SIM_895 783 357 61 8 45 8 104 128
SIM_896 864 453 86 9 20 7 8 47
SIM_897 937 471 92 9 14 7 -10 -26
SIM_898 851 441 81 6 25 10 20 60
SIM_899 779 364 74 4 32 12 97 132
SIM_900 962 477 104 14 2 2 -16 -51
SIM_901 865 446 83 5 23 11 15 46
SIM_902 903 466 101 13 5 3 -5 8
SIM_903 917 428 87 5 19 11 33 -6
SIM_904 950 469 91 7 15 9 -8 -39
SIM_905 994 496 106 14 0 2 -35 -83
SIM_906 799 416 68 6 38 10 45 112
SIM_907 936 471 112 18 -6 -2 -10 -25
SIM_908 908 432 80 7 26 9 29 3
SIM_909 917 458 83 13 23 3 3 -6
SIM_910 785 384 72 3 34 13 77 126
SIM_911 1016 516 117 9 -11 7 -55 -105
SIM_912 926 461 103 11 3 5 0 -15
SIM_913 856 428 84 6 22 10 33 55
SIM_914 1026 552 98 11 8 5 -91 -115
SIM_915 910 481 108 11 -2 5 -20 1
SIM_916 987 516 112 18 -6 -2 -55 -76
SIM_917 827 423 82 4 24 12 38 84
SIM_918 891 399 68 3 38 13 62 20
SIM_919 810 412 61 6 45 10 49 101
SIM_920 1028 539 129 9 -23 7 -78 -117
SIM_921 1017 520 106 16 0 0 -59 -106
SIM_922 884 426 75 10 31 6 35 27
SIM_923 848 427 85 5 21 11 34 63
SIM_924 921 481 99 8 7 8 -20 -10
SIM_925 918 474 111 15 -5 1 -13 -7
SIM_926 827 410 86 11 20 5 51 84
SIM_927 807 397 77 7 29 9 64 104
SIM_928 830 381 69 7 37 9 80 81
SIM_929 822 375 66 8 40 8 86 89
SIM_930 802 378 67 8 39 8 83 109
SIM_931 1212 652 149 27 -43 -11 -191 -301
SIM_932 856 432 83 11 23 5 29 55
SIM_933 977 495 123 16 -17 0 -34 -66
SIM_934 821 385 78 11 28 5 76 90
SIM_935 866 440 77 1 29 15 21 45
SIM_936 797 408 72 8 34 8 53 114
SIM_937 723 363 71 4 35 12 98 188
SIM_938 951 508 122 17 -16 -1 -47 -40
SIM_939 887 420 93 8 13 8 41 24
SIM_940 848 420 80 10 26 6 41 63
SIM_941 934 489 110 14 -4 2 -28 -23
SIM_942 854 427 73 10 33 6 34 57
SIM_943 817 427 91 7 15 9 34 94
SIM_944 866 422 90 15 16 1 39 45
SIM_945 840 458 106 10 0 6 3 71
SIM_946 709 348 59 8 47 8 113 202
SIM_947 990 482 114 12 -8 4 -21 -79
SIM_948 932 471 96 16 10 0 -10 -21
SIM_949 834 394 77 6 29 10 67 77
SIM_950 1164 637 146 13 -40 3 -176 -253
SIM_951 841 417 86 11 20 5 44 70
SIM_952 1064 562 121 15 -15 1 -101 -153
SIM_953 863 415 79 9 27 7 46 48
SIM_954 918 457 102 12 4 4 4 -7
SIM_955 847 425 88 13 18 3 36 64
SIM_956 847 437 88 10 18 6 24 64
SIM_957 892 430 95 15 11 1 31 19
SIM_958 871 433 79 7 27 9 28 40
SIM_959 866 430 85 11 21 5 31 45
SIM_960 974 516 92 10 14 6 -55 -63
SIM_961 767 356 68 6 38 10 105 144
SIM_962 816 419 84 7 22 9 42 95
SIM_963 795 361 63 2 43 14 100 116
SIM_964 773 374 71 9 35 7 87 138
SIM_965 762 387 76 5 30 11 74 149
SIM_966 1102 586 143 8 -37 8 -125 -191
SIM_967 895 445 78 8 28 8 16 16
SIM_968 826 399 64 7 42 9 62 85
SIM_969 1146 668 142 8 -36 8 -207 -235
SIM_970 836 417 80 4 26 12 44 75
SIM_971 1002 508 102 10 4 6 -47 -91
SIM_972 905 465 97 8 9 8 -4 6
SIM_973 948 498 94 9 12 7 -37 -37
SIM_974 984 495 100 8 6 8 -34 -73
SIM_975 830 392 68 7 38 9 69 81
SIM_976 832 412 86 6 20 10 49 79
SIM_977 882 443 108 11 -2 5 18 29
SIM_978 768 384 74 3 32 13 77 143
SIM_979 1043 540 133 19 -27 -3 -79 -132
SIM_980 789 421 92 9 14 7 40 122
SIM_981 1013 548 129 11 -23 5 -87 -102
SIM_982 864 426 65 6 41 10 35 47
SIM_983 875 460 91 7 15 9 1 36
SIM_984 814 404 85 4 21 12 57 97
SIM_985 886 453 85 7 21 9 8 25
SIM_986 940 493 95 11 11 5 -32 -29
SIM_987 889 455 96 9 10 7 6 22
SIM_988 884 412 98 8 8 8 49 27
SIM_989 868 437 86 6 20 10 24 43
SIM_990 902 464 99 7 7 9 -3 9
SIM_991 720 337 65 5 41 11 124 191
SIM_992 882 433 86 9 20 7 28 29
SIM_993 878 430 82 10 24 6 31 33
SIM_994 921 460 110 18 -4 -2 1 -10
SIM_995 820 387 93 7 13 9 74 91
SIM_996 905 463 93 6 13 10 -2 6
SIM_997 833 409 86 10 20 6 52 78
SIM_998 920 458 86 8 20 8 3 -9
SIM_999 919 453 91 8 15 8 8 -8
